ID,Created,Name,Description,Playlist URL
7da3345e252046089378d1bcd2c65511,2023-01-13T06:03:29Z,"Planes, Trains, and Automobiles","Songs about the following types of vehicles:
Planes, Trains, and Automobiles.

So really, any song where a vehicle is a key part of the song!",https://open.spotify.com/playlist/1Wja1UtPqciSr9wxb00JG9
5b474dacca3e438997343762b18a8032,2023-01-13T06:03:30Z,No (Six) Strings Attached,"Songs without guitars. I'm going to be really upset with you if you post with one.

SO DON'T.",https://open.spotify.com/playlist/2eIQus6zraY13zMLm0hK2J
481db546fbe84e12af91974d63ea1105,2023-01-13T06:12:48Z,Let Me Put This Into A Language You'll Understand,"So for this one, I want you to submit a song in a language.

Here's some ideas of languages:
Spanish
Mandarin
Portuguese
Japanese
Hindi
Arabic
Russian
German
Korean
French

Here's one you can't pick:
English

So. Something not in English. ",https://open.spotify.com/playlist/3rjrtLEMRJ1iXuAf3UaBbg
f3a46681eff74153b2d6344ac8880544,2023-01-13T06:12:48Z,Amoeba Music,"Music for microbes. So to elaborate, music that sounds strange, alien, evocative of the single-celled organisms referred to as Amoebas. This is up to interpretation.",https://open.spotify.com/playlist/5TsQ9VVE7etcWPNJTA8XWw
