ID,Created,Name,Description,Playlist URL
49d74660410f42cf94be438a484e1d2c,2022-10-27T23:07:42Z,Question,Songs with questions for titles,https://open.spotify.com/playlist/6uUduy9c4oYW7DBAT7JY6F
b7118ff9566c40b189edf3c919a32e05,2022-10-27T23:07:42Z,I Knew Them First,"Songs with less than 100,000 spotify plays",https://open.spotify.com/playlist/0VvVzBtMSMeIcIHKrMZnNH
fdd3242950474159b25ae91eac9dbe1c,2022-10-27T23:07:43Z,Genre-bending Covers,Songs that are covers in a different genre than the original,https://open.spotify.com/playlist/1ILY5mc1e9mlyiYIuuqSqC
a4342484d58a4e0e868a5e7354f8977b,2022-10-27T23:07:44Z,Supergroup,Songs performed by a group of musicians who were already established artists ,https://open.spotify.com/playlist/0LOempFBao0kPb1EAuIukr
e74f13f84d9740e58925a3deede09535,2022-10-27T23:07:45Z,Name Check,Songs with a person's name in the title,https://open.spotify.com/playlist/1mGDGhCgGjKJNYMInRuzvN
