ID,Created,Name,Description,Playlist URL
290d30e3826b41498c4e6e13c16b2a0f,2022-12-04T06:51:54Z,"It's My Party, I Can Cry If I Want To","If you've cried to it (or about it), submit it and we'll vote on them.",https://open.spotify.com/playlist/3aQwTSYAa0nAkYga08tTKR
bf6bbc47a0b24288b70881ee4509fa93,2022-12-04T06:51:54Z,Bloodsucker Ballads,"It's about vampires, so please show us your best song about vampires. Either figuratively or literally but in some way, shape, or form. About vampires.",https://open.spotify.com/playlist/5LgREyJyY9MaSPQGu57sl5
0d814072f57748c8b5ff2f2925115d06,2022-12-04T06:51:54Z,Unheard Of,"This week is:
A song from a small artist you love, something you absolutely want to introduce people to.

(Aim for bands with low listeners, local folks you like, people with pretty generally ""unheard of"" stuff.)",https://open.spotify.com/playlist/0CceT9xuMVwHnekF50RLGS
12d188d095e249aa982ca5732f96b100,2022-12-04T06:51:54Z,Familiar Places,"This round is about:
SONGS WITH THE NAME OF A LOCATION IN THE TITLE

Like Monterrey, Circle K, Calabasas, or Twin Peaks.",https://open.spotify.com/playlist/72cDuSJkBrZLzedf4RT9we
cba57219fcea4719ba64e1b51b9dee7b,2022-12-04T07:01:55Z,101 Songs To Improve Your Mood,"Songs you put on to improve your mood, songs that you need to make a bad day good and maybe even terrible ones just a little better.",https://open.spotify.com/playlist/4n6oKlLVoD0QRhZInJx2cw
