Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1OrBPFs8yLkT02aLiloHQs,9bb7a6f84baf47d9aaaa374a51b51e0e,2022-12-06T18:00:16Z,1,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:33qZHFJnbQz3rKm50fSpDB,9bb7a6f84baf47d9aaaa374a51b51e0e,2022-12-06T18:00:16Z,1,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ,9bb7a6f84baf47d9aaaa374a51b51e0e,2022-12-06T18:00:16Z,1,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:4r1AS456lSXXXv6aVpDT4e,9bb7a6f84baf47d9aaaa374a51b51e0e,2022-12-06T18:00:16Z,0,half the songs on Reconstruction Site would have gotten my vote tbh,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:5vXV6C3rjUeafxojbTL5yg,9bb7a6f84baf47d9aaaa374a51b51e0e,2022-12-06T18:00:16Z,1,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:3jONVnCbgVkVCNocvE07ZE,e2da4cbaa7ef4014bf4429ee89f716db,2022-12-06T18:21:59Z,1,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:4r1AS456lSXXXv6aVpDT4e,e2da4cbaa7ef4014bf4429ee89f716db,2022-12-06T18:21:59Z,2,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:5vXV6C3rjUeafxojbTL5yg,e2da4cbaa7ef4014bf4429ee89f716db,2022-12-06T18:21:59Z,1,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:1OrBPFs8yLkT02aLiloHQs,72dc3963c08c4c86bb116294efd691d4,2022-12-06T19:19:08Z,1,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:3jONVnCbgVkVCNocvE07ZE,72dc3963c08c4c86bb116294efd691d4,2022-12-06T19:19:08Z,2,,290d30e3826b41498c4e6e13c16b2a0f
spotify:track:5vXV6C3rjUeafxojbTL5yg,72dc3963c08c4c86bb116294efd691d4,2022-12-06T19:19:08Z,1,,290d30e3826b41498c4e6e13c16b2a0f
